data_extracao;idacidente;longitude;latitude;log1;log2;predial1;tipo_acid;queda_arr;data;dia_sem;hora;feridos;feridos_gr;mortes;morte_post;fatais;auto;taxi;lotacao;onibus_urb;onibus_met;onibus_int;caminhao;moto;carroca;bicicleta;outro;noite_dia;regiao;cont_vit;ups;consorcio
2020-11-01 01:34:07;601481;-51.186112;-30.028168;;;706;COLISÃO;0;2015-01-13 00:00:00;TERÇA-FEIRA;15:00;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;DIA;LESTE               ;0;1;
2020-11-01 01:34:07;601487;-51.175693;-30.181694;AV JUCA BATISTA;;7675;ABALROAMENTO;0;2015-01-13 00:00:00;TERÇA-FEIRA;14:10:00;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;DIA;SUL                 ;0;1;
2020-11-01 01:34:07;601491;-51.158773;-30.008265;;;0;ABALROAMENTO;0;2015-01-13 00:00:00;TERÇA-FEIRA;07:40;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;DIA;NORTE               ;0;1;
2020-11-01 01:34:07;601501;-51.217667;-30.026594;;;161;COLISÃO;0;2015-01-13 00:00:00;TERÇA-FEIRA;18:50;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;NOITE;CENTRO              ;0;1;CONORTE
2020-11-01 01:34:07;601507;-51.187515;-30.018806;;;0;ABALROAMENTO;0;2015-01-13 00:00:00;TERÇA-FEIRA;09:00;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;DIA;LESTE               ;0;1;
2020-11-01 01:34:07;601509;-51.227047;-30.026163;;;0;ABALROAMENTO;0;2015-01-14 00:00:00;QUARTA-FEIRA;15:20;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;DIA;CENTRO              ;0;1;
2020-11-01 01:34:07;601543;-51.219849;-30.025547;R COMENDADOR MANOEL PEREIRA;R DA CONCEICAO;0;ABALROAMENTO;0;2015-01-16 00:00:00;SEXTA-FEIRA;10:17:00;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;DIA;CENTRO              ;0;1;
2020-11-01 01:34:07;601550;-51.108836;-29.991472;AV BERNARDINO SILVEIRA DE AMORIM;;1296;ABALROAMENTO;0;2015-01-15 00:00:00;QUINTA-FEIRA;23:00:00;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;NOITE;NORTE               ;1;5;
2020-11-01 01:34:07;601552;-51.098475;-30.013329;;;4745;COLISÃO;0;2015-01-10 00:00:00;SÁBADO;07:30;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;DIA;NORTE               ;0;1;
2020-11-01 01:34:07;601566;-51.171065;-29.987508;;;0;COLISÃO;0;2015-01-15 00:00:00;QUINTA-FEIRA;20:50;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;NOITE;NORTE               ;0;1;
2020-11-01 01:34:07;601588;-51.250109;-30.095006;;;0;ABALROAMENTO;0;2015-01-17 00:00:00;SÁBADO;02:35;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;NOITE;SUL                 ;0;1;
2020-11-01 01:34:07;601615;-51.139312;-30.148007;AV IGNES E FAGUNDES;;633;CHOQUE;0;2015-01-16 00:00:00;SEXTA-FEIRA;09:20:00;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;DIA;SUL                 ;0;1;
2020-11-01 01:34:07;601617;-51.220036;-30.061351;;;87;COLISÃO;0;2015-01-16 00:00:00;SEXTA-FEIRA;13:50;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;DIA;SUL                 ;0;1;
2020-11-01 01:34:07;601631;-51.214869;-30.144141;;;1414;COLISÃO;0;2015-01-19 00:00:00;SEGUNDA-FEIRA;08:40;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;DIA;SUL                 ;0;1;
2020-11-01 01:34:07;601635;-51.213121;-30.068819;AV DR CARLOS BARBOSA;;1491;ABALROAMENTO;0;2015-01-18 00:00:00;DOMINGO;14:30:00;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;DIA;SUL                 ;1;5;
2020-11-01 01:34:07;601657;-51.091503;-30.022460;R DAS ARAUCARIAS;;65;ATROPELAMENTO;0;2015-01-18 00:00:00;DOMINGO;21:30:00;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;NOITE;NORTE               ;1;5;
2020-11-01 01:34:07;601675;-51.159649;-30.063573;;;5435;COLISÃO;0;2015-01-19 00:00:00;SEGUNDA-FEIRA;09:00;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;DIA;LESTE               ;0;1;
2020-11-01 01:34:07;601677;-51.197996;-30.047973;;;0;ABALROAMENTO;0;2015-01-19 00:00:00;SEGUNDA-FEIRA;12:05;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;DIA;LESTE               ;0;1;
2020-11-01 01:34:07;601683;-51.178815;-30.004900;;;0;COLISÃO;0;2015-01-19 00:00:00;SEGUNDA-FEIRA;11:15;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;DIA;NORTE               ;0;1;
2020-11-01 01:34:07;601687;-51.173915;-30.018004;;;1775;ABALROAMENTO;0;2015-01-19 00:00:00;SEGUNDA-FEIRA;12:00;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;DIA;NORTE               ;0;1;CONORTE
2020-11-01 01:34:07;601705;;;;;0;COLISÃO;0;2015-01-19 00:00:00;SEGUNDA-FEIRA;09:30;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;DIA;CENTRO              ;0;1;
2020-11-01 01:34:07;601713;-51.191370;-29.997516;;;47;CHOQUE;0;2015-01-16 00:00:00;SEXTA-FEIRA;19:45;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;NOITE;LESTE               ;0;1;
