id;longitude;latitude;log1;log2;predial;tipo_acid;data;dia_sem;hora;feridos;fatais;automoveis;transporte_publico;caminhao;moto;bicicleta;outros;vitimas;precipitacao;chuva
601372;-51.208649;-30.018378000000002;nan;nan;0;ABALROAMENTO;2015-01-13;TERÇA-FEIRA;07:50;0;0;2;0;0;0;0;0;0;0.0;Sem chuva
190816;nan;nan;R MARCOS MOREIRA;R GASTON ENGLERT;0;ABALROAMENTO;2020-10-17;SÁBADO;19:00:00;1;0;3;0;0;1;0;0;1;0.0;Sem chuva
601006;-51.145218;-30.040578999999997;R DR OTAVIO SANTOS;nan;240;QUEDA;2015-01-03;SÁBADO;14:00:00;2;0;1;0;0;0;0;0;1;0.0;Sem chuva
601028;-51.232759;-30.037344;nan;nan;0;EVENTUAL;2015-01-02;SEXTA-FEIRA;13:15;0;0;0;1;0;0;0;0;0;2.2;Sem chuva
601030;-51.188063;-30.065869;nan;nan;0;ABALROAMENTO;2015-01-02;SEXTA-FEIRA;11:48;0;0;1;1;0;0;0;0;0;2.2;Sem chuva
601036;-51.111737;-30.008415999999997;AV DR RUBEM KNIJNIK;AV EDU LAS-CASAS;0;ABALROAMENTO;2015-01-05;SEGUNDA-FEIRA;18:00:00;1;0;2;0;0;0;0;0;1;0.0;Sem chuva
601080;-51.214493;-30.026976;R SANTO ANTONIO;nan;215;COLISÃO;2015-01-05;SEGUNDA-FEIRA;17:02:00;0;0;2;0;0;0;0;0;0;0.0;Sem chuva
601082;-51.160225;-29.985233;nan;nan;0;COLISÃO;2015-01-05;SEGUNDA-FEIRA;08:30;0;0;2;0;0;0;0;0;0;0.0;Sem chuva
601088;-51.187754;-30.013369;R DOM PEDRO II;nan;723;EVENTUAL;2015-01-05;SEGUNDA-FEIRA;12:40:00;0;0;1;0;0;0;0;0;0;0.0;Sem chuva
601096;-51.193754;-29.998396999999997;nan;nan;289;COLISÃO;2015-01-06;TERÇA-FEIRA;09:05;0;0;2;0;0;0;0;0;0;0.0;Sem chuva
601129;-51.184667;-30.117455;nan;nan;5001;ABALROAMENTO;2015-01-01;QUINTA-FEIRA;11:00;0;0;2;0;0;0;0;0;0;0.0;Sem chuva
601131;-51.178309999999996;-30.047289000000003;AV SENADOR TARSO DUTRA;R DR JOSE CARVALHO BERNARDES;0;COLISÃO;2015-01-02;SEXTA-FEIRA;15:15:00;0;0;1;0;1;0;0;0;0;2.2;Sem chuva
601164;-51.203520000000005;-30.028640000000003;nan;nan;366;ABALROAMENTO;2015-01-05;SEGUNDA-FEIRA;12:40;0;0;2;0;0;0;0;0;0;0.0;Sem chuva
601170;-51.200187;-30.028498;nan;nan;0;COLISÃO;2015-01-06;TERÇA-FEIRA;12:50;0;0;2;0;0;0;0;0;0;0.0;Sem chuva
601172;-51.201248;-30.039014;nan;nan;696;ABALROAMENTO;2015-01-06;TERÇA-FEIRA;12:11;0;0;3;0;0;0;0;0;0;0.0;Sem chuva
601196;-51.208783000000004;-30.072663000000002;nan;nan;2148;ABALROAMENTO;2015-01-06;TERÇA-FEIRA;13:20;0;0;1;1;0;0;0;0;0;0.0;Sem chuva
601202;-51.230009;-30.029145;nan;nan;0;COLISÃO;2015-01-07;QUARTA-FEIRA;14:36;0;0;2;0;0;0;0;0;0;0.0;Sem chuva
601204;-51.229523;-30.049342;nan;nan;2500;COLISÃO;2015-01-08;QUINTA-FEIRA;11:20;0;0;2;0;0;0;0;0;0;0.0;Sem chuva
601227;-51.130132;-29.995289;AV SALVADOR LEAO;nan;7;ABALROAMENTO;2015-01-09;SEXTA-FEIRA;18:04:00;1;0;1;0;0;1;0;0;1;0.0;Sem chuva
601242;-51.130109000000004;-30.093040999999996;ESTR JOAO DE OLIVEIRA REMIAO;nan;2001;COLISÃO;2015-01-10;SÁBADO;14:30:00;1;0;2;0;0;0;0;0;1;0.2;Sem chuva
601244;nan;nan;AV DO LAMI;nan;0;ABALROAMENTO;2015-01-10;SÁBADO;17:00:00;1;0;1;0;0;1;0;0;1;0.2;Sem chuva
601246;-51.173511;-30.061803;AV BENTO GONCALVES;nan;4263;CHOQUE;2015-01-11;DOMINGO;06:45:00;1;0;2;0;0;0;0;0;1;0.0;Sem chuva
601256;-51.220281;-30.116543;R JOAQUIM DE CARVALHO;nan;300;CAPOTAGEM;2015-01-11;DOMINGO;22:30:00;4;0;2;0;0;0;0;0;1;0.0;Sem chuva
601258;-51.229978;-30.134180999999998;AV TRAMANDAI;nan;359;ABALROAMENTO;2015-01-12;SEGUNDA-FEIRA;06:10:00;1;0;1;0;0;1;0;0;1;0.0;Sem chuva
601266;-51.147465000000004;-29.997931;AV SERTORIO;nan;5666;ABALROAMENTO;2015-01-12;SEGUNDA-FEIRA;14:10:00;1;0;1;0;0;1;0;0;1;0.0;Sem chuva
601276;-51.183938;-30.064295;AV BENTO GONCALVES;nan;3155;COLISÃO;2015-01-06;TERÇA-FEIRA;13:02:00;0;0;3;0;0;0;0;0;0;0.0;Sem chuva
601278;-51.144968;-30.01035;nan;nan;0;ABALROAMENTO;2015-01-06;TERÇA-FEIRA;13:50;0;0;1;0;1;0;0;0;0;0.0;Sem chuva
601288;-51.201166;-30.053856;nan;nan;1184;COLISÃO;2015-01-07;QUARTA-FEIRA;13:11;0;0;3;0;0;0;0;0;0;0.0;Sem chuva
601298;-51.115163;-29.96785;nan;nan;0;COLISÃO;2015-01-07;QUARTA-FEIRA;17:30;0;0;1;0;1;0;0;0;0;0.0;Sem chuva
601304;-51.181032;-30.066699;nan;nan;541;COLISÃO;2015-01-08;QUINTA-FEIRA;12:00;0;0;2;0;0;0;0;0;0;0.0;Sem chuva
601335;-51.202092;-30.008986;AV FARRAPOS;AV POLONIA;0;ABALROAMENTO;2015-01-13;TERÇA-FEIRA;14:30:00;1;0;2;0;0;1;0;0;1;0.0;Sem chuva
601347;nan;nan;nan;nan;0;ABALROAMENTO;2015-01-09;SEXTA-FEIRA;08:55;0;0;1;1;0;0;0;0;0;0.0;Sem chuva
601349;-51.180959;-30.003253000000004;nan;nan;2435;COLISÃO;2015-01-09;SEXTA-FEIRA;11:59;0;0;3;0;0;0;0;0;0;0.0;Sem chuva
601355;-51.194451;-29.999603999999998;nan;nan;0;ABALROAMENTO;2015-01-09;SEXTA-FEIRA;16:20;0;0;2;0;0;0;0;0;0;0.0;Sem chuva
601391;-51.126721999999994;-30.023486;nan;nan;643;CHOQUE;2015-01-01;QUINTA-FEIRA;21:10;0;0;2;0;0;0;0;0;0;0.0;Sem chuva
601393;-51.168575;-30.061639000000003;nan;nan;4748;COLISÃO;2015-01-03;SÁBADO;16:06;0;0;1;1;0;0;0;0;0;0.0;Sem chuva
601377;-51.214543;-30.072776;R SEPE TIARAJU;nan;600;CHOQUE;2015-01-14;QUARTA-FEIRA;01:35:00;1;0;2;0;0;0;0;0;1;0.0;Sem chuva
601410;-51.159512;-30.052460999999997;nan;nan;401;ABALROAMENTO;2015-01-09;SEXTA-FEIRA;08:40;0;0;2;0;0;0;0;0;0;0.0;Sem chuva
601416;-51.179658;-30.036989000000002;nan;nan;0;ABALROAMENTO;2015-01-09;SEXTA-FEIRA;16:20;0;0;2;0;0;0;0;0;0;0.0;Sem chuva
601435;-51.220092;-30.036369;AV JOAO PESSOA;nan;517;COLISÃO;2015-01-15;QUINTA-FEIRA;11:40:00;1;0;2;0;0;0;0;0;1;0.0;Sem chuva
601443;-51.178672;-30.033340000000003;nan;nan;1380;COLISÃO;2015-01-08;QUINTA-FEIRA;08:05;0;0;2;0;0;0;0;0;0;0.0;Sem chuva
